Year,Day,Amount_Lost_INR,Incident_Type,City,Category
2023,20,233263,Phishing,Lucknow,Government
2023,3,142935,Online Fraud,Lucknow,Government
2023,12,46963,Others,Lucknow,Government
2023,2,206497,Ransomware,Lucknow,Government
2023,20,278156,Malware_Attacks,Lucknow,Government
2024,23,35127,Online Fraud,Chennai,Social Media
2024,21,264191,Ransomware,Chennai,Social Media
2024,1,110752,Others,Chennai,Social Media
2024,10,107103,Phishing,Chennai,Social Media
2024,26,272674,Others,Chennai,Social Media
2024,23,126462,Others,Chennai,Social Media
2024,6,23906,Malware_Attacks,Chennai,Social Media
2024,8,5150,Online Fraud,Chennai,Social Media
2024,3,149670,Ransomware,Chennai,Social Media
2024,12,212168,Ransomware,Chennai,Social Media
2024,19,110020,Others,Chennai,Social Media
2024,1,40975,Phishing,Chennai,Social Media
2024,18,154156,Others,Chennai,Social Media
2024,19,187502,Malware_Attacks,Chennai,Social Media
2024,27,149969,Online Fraud,Chennai,Social Media
2024,20,106987,Ransomware,Chennai,Social Media
2024,13,7438,Malware_Attacks,Chennai,Social Media
2024,6,218455,Others,Chennai,Social Media
2024,4,297883,Phishing,Chennai,Social Media
2024,17,159272,Malware_Attacks,Chennai,Social Media
2024,4,274110,Malware_Attacks,Chennai,Social Media
2024,18,136146,Ransomware,Chennai,Social Media
2024,13,258561,Online Fraud,Chennai,Social Media
2024,25,183080,Ransomware,Chennai,Social Media
2024,22,246550,Others,Chennai,Social Media
2024,28,19339,Ransomware,Chennai,Social Media
2024,4,140171,Phishing,Chennai,Social Media
2024,13,120543,Online Fraud,Chennai,Social Media
2024,26,170533,Ransomware,Chennai,Social Media
2024,12,275796,Others,Chennai,Social Media
2024,1,143071,Online Fraud,Chennai,Social Media
2024,10,53763,Ransomware,Chennai,Social Media
2024,22,184302,Phishing,Chennai,Social Media
2024,18,98577,Ransomware,Chennai,Social Media
2024,11,190355,Online Fraud,Chennai,Social Media
2024,19,146073,Online Fraud,Chennai,Social Media
2024,24,104702,Ransomware,Chennai,Social Media
2024,24,109682,Online Fraud,Chennai,Social Media
2024,24,131907,Malware_Attacks,Chennai,Social Media
2024,7,125170,Online Fraud,Chennai,Social Media
